title,description,category,cloud_provider,severity,is_misconfiguration,public_exposure,privilege_escalation,data_exposure,dos,unencrypted,iam,s3_bucket,ssrf_rce
,AWS CodeBuild with no logging enabled.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Cognitive Services with no logging.,Monitoring,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Spanner with no backup encryption.,Encryption,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud API Gateway with no request validation.,API Security,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Security Group with no protocol restrictions.,Network Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with no disk snapshot policy.,Data Protection,Alibaba Cloud,0,0,0,0,0,0,0,1,0,0
,AWS S3 bucket with no lifecycle policy.,Data Protection,AWS,0,0,0,0,0,0,0,1,1,0
,Azure Stream Analytics with no access control.,Access Control,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Armor with no WAF rules.,Security Policy,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud VCN with no route table restrictions.,Network Security,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with no resource quotas.,Resource Control,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with no data encryption.,Encryption,Alibaba Cloud,0,0,0,0,0,0,0,0,1,0
,AWS EKS with no network policy enforcement.,Network Security,AWS,0,0,0,0,0,0,0,1,0,0
,Azure API Management with no subscription key.,Authentication,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud DNS with no zone restrictions.,Access Control,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Identity with no lockout policy.,Authentication,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud VPC with no flow log encryption.,Encryption,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with no deletion protection.,Data Protection,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS SNS with no delivery status logging.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Virtual Network with no private endpoint.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud SQL with no point-in-time recovery.,Data Protection,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with no audit logging.,Monitoring,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Databases with no encryption for backups.,Encryption,IBM Cloud,25,0,0,0,0,0,1,0,0,0
,Alibaba Cloud ECS with no resource monitoring.,Monitoring,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS Lambda with no tracing enabled.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Kubernetes with no log analytics.,Monitoring,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Run with no request timeout.,Resource Control,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Compute with no instance monitoring.,Monitoring,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Functions with no concurrency limits.,Resource Control,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with no data retention policy.,Data Protection,Alibaba Cloud,0,0,0,0,0,0,0,1,1,0
,AWS API Gateway with no cache encryption.,Encryption,AWS,0,0,0,0,0,0,0,0,0,0
,Azure App Service with no HTTPS enforcement.,Encryption,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Storage with no object versioning.,Data Protection,GCP,0,0,0,0,0,0,0,0,1,0
,Oracle Cloud Database with no connection encryption.,Encryption,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,AWS IAM role trust policy allowing cross-account privilege escalation.,Privilege Escalation,AWS,25,0,0,1,0,0,0,1,0,0
,Azure Managed Identity with excessive permissions leading to resource hijacking.,IAM Misconfiguration,Azure,0,1,0,0,0,0,0,1,0,0
,GCP Service Account impersonation via overly permissive IAM bindings.,Privilege Escalation,GCP,25,0,0,1,0,0,0,1,0,0
,Oracle Cloud Functions with exposed debug endpoints allowing code injection.,Code Injection,Oracle Cloud,30,0,1,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured webhook allowing pod privilege escalation.,Privilege Escalation,IBM Cloud,25,1,0,1,0,0,0,0,0,0
,Alibaba Cloud ECS with exposed metadata service allowing SSRF attacks.,Server-Side Request Forgery,Alibaba Cloud,50,0,1,0,0,0,0,0,0,1
,AWS Lambda function with unvalidated event data leading to code injection.,Code Injection,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Function with misconfigured CORS allowing cross-origin data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Run with misconfigured service account allowing privilege escalation.,Privilege Escalation,GCP,25,1,0,1,0,0,0,0,0,0
,Oracle Cloud VCN with misconfigured route table enabling lateral movement.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Object Storage with misconfigured lifecycle rules exposing deleted data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud SLB with insecure session handling leading to session hijacking.,Session Management,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS API Gateway with misconfigured request validation allowing SQL injection.,Injection,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Cosmos DB with misconfigured partition key allowing data leakage.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Storage with misconfigured signed URLs allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,0,1,0
,Oracle Cloud Database with exposed diagnostic data allowing information disclosure.,Data Exposure,Oracle Cloud,55,0,1,0,1,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured admission controller allowing privilege escalation.,Privilege Escalation,IBM Cloud,25,1,0,1,0,0,0,0,0,0
,Alibaba Cloud RDS with exposed slow query logs leading to data leakage.,Data Exposure,Alibaba Cloud,55,0,1,0,1,0,0,0,0,0
,AWS S3 bucket with misconfigured event notifications exposing data to external services.,Data Exposure,AWS,25,1,0,0,1,0,0,0,1,0
,Azure Virtual Machine with exposed serial console allowing privilege escalation.,Privilege Escalation,Azure,55,0,1,1,0,0,0,0,0,0
,GCP Cloud Functions with misconfigured environment variables exposing secrets.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured backend set allowing DoS attacks.,Denial of Service,Oracle Cloud,10,1,0,0,0,1,0,0,0,0
,IBM Cloud VPC with misconfigured floating IP allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured user data script enabling remote code execution.,Code Injection,Alibaba Cloud,20,1,0,0,0,0,0,0,0,1
,AWS EKS with misconfigured cluster role bindings allowing privilege escalation.,Privilege Escalation,AWS,25,1,0,1,0,0,0,1,0,0
,Azure API Management with exposed management API allowing configuration tampering.,API Security,Azure,30,0,1,0,0,0,0,0,0,0
,GCP Cloud SQL with exposed binary logs allowing data exposure.,Data Exposure,GCP,55,0,1,0,1,0,0,0,0,0
,Oracle Cloud Identity with misconfigured federation allowing unauthorized access.,Authentication,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud Functions with misconfigured trigger allowing unauthorized invocation.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured replication allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS CloudTrail with misconfigured SNS topic allowing log tampering.,Monitoring,AWS,30,1,1,0,0,0,0,0,0,0
,Azure Synapse Analytics with misconfigured pipeline allowing code execution.,Code Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Build with misconfigured build trigger allowing unauthorized builds.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Compute with misconfigured instance metadata allowing SSRF.,Server-Side Request Forgery,Oracle Cloud,20,1,0,0,0,0,0,0,0,1
,IBM Cloud VPC with misconfigured DNS resolution allowing DNS rebinding attacks.,Network Security,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud Function Compute with misconfigured event source allowing unauthorized invocation.,Access Control,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS RDS with misconfigured parameter group allowing insecure connections.,Network Security,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Key Vault with misconfigured access policy allowing secret enumeration.,Data Exposure,Azure,25,1,0,0,1,0,0,1,0,0
,GCP Pub/Sub with misconfigured subscription allowing message interception.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured export allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Databases with misconfigured connection string exposing credentials.,Data Exposure,IBM Cloud,55,1,1,0,1,0,0,0,0,0
,Alibaba Cloud VPC with misconfigured NAT gateway allowing traffic sniffing.,Network Security,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS SQS with misconfigured dead-letter queue exposing sensitive messages.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Event Hub with misconfigured consumer group allowing unauthorized access.,Access Control,Azure,30,1,1,0,0,0,0,0,0,0
,GCP BigQuery with misconfigured table ACLs allowing data leakage.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Object Storage with misconfigured pre-authenticated requests allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,1,0
,IBM Cloud Kubernetes with misconfigured network policy allowing lateral movement.,Network Security,IBM Cloud,0,1,0,0,0,0,0,1,0,0
,Alibaba Cloud ECS with misconfigured auto-scaling policy allowing resource exhaustion.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,1,0,0
,AWS CloudFormation with misconfigured drift detection exposing configuration changes.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Machine Learning with misconfigured model deployment allowing inference attacks.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Monitoring with misconfigured alert policy allowing silent failures.,Monitoring,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud Functions with misconfigured logging exposing sensitive data.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud VPC with misconfigured load balancer allowing traffic interception.,Network Security,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured binlog allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS Redshift with misconfigured snapshot sharing allowing data leakage.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Data Lake with misconfigured access control allowing privilege escalation.,Privilege Escalation,Azure,25,1,0,1,0,0,0,0,0,0
,GCP Cloud Composer with misconfigured environment variables exposing secrets.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud VCN with misconfigured security list allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Databases with misconfigured backup policy allowing data loss.,Data Protection,IBM Cloud,0,1,0,0,0,0,0,1,0,0
,Alibaba Cloud Function Compute with misconfigured runtime allowing code injection.,Code Injection,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS ElastiCache with misconfigured Redis AUTH allowing unauthorized access.,Authentication,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Databricks with misconfigured workspace allowing data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud VPN with misconfigured routing allowing traffic interception.,Network Security,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured mount target allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured RBAC allowing privilege escalation.,Privilege Escalation,IBM Cloud,25,1,0,1,0,0,0,1,0,0
,Alibaba Cloud OSS with misconfigured bucket policy allowing data tampering.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,1,1,0
,AWS CodeBuild with misconfigured environment variables exposing secrets.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Cognitive Services with misconfigured API key rotation exposing keys.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Spanner with misconfigured audit logs allowing undetected access.,Monitoring,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud API Gateway with misconfigured throttling allowing DoS attacks.,Denial of Service,Oracle Cloud,10,1,0,0,0,1,0,0,0,0
,IBM Cloud Security Group with misconfigured rules allowing lateral movement.,Network Security,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured snapshot export allowing data leakage.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS S3 bucket with misconfigured encryption rules exposing data.,Encryption,AWS,0,1,0,0,0,0,0,0,1,0
,Azure Stream Analytics with misconfigured input allowing data injection.,Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Armor with misconfigured rules allowing SQL injection.,Injection,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with misconfigured NAT gateway allowing traffic sniffing.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured pod security context allowing privilege escalation.,Privilege Escalation,IBM Cloud,25,1,0,1,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured versioning allowing data tampering.,Data Protection,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS Fargate with misconfigured network configuration allowing lateral movement.,Network Security,AWS,0,1,0,0,0,0,0,0,0,0
,Azure API Management with misconfigured gateway allowing request smuggling.,API Security,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud DNS with misconfigured zone transfer allowing DNS data exposure.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Identity with misconfigured API key allowing unauthorized access.,Authentication,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured endpoint service allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured replication allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS SNS with misconfigured topic subscription allowing message interception.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Virtual Network with misconfigured peering allowing lateral movement.,Network Security,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured failover allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured NFS export allowing data leakage.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Databases with misconfigured audit policy allowing undetected access.,Monitoring,IBM Cloud,0,1,0,0,0,0,0,1,0,0
,Alibaba Cloud ECS with misconfigured instance role allowing privilege escalation.,Privilege Escalation,Alibaba Cloud,25,1,0,1,0,0,0,1,0,0
,AWS Lambda with misconfigured VPC endpoint allowing traffic interception.,Network Security,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Kubernetes with misconfigured service account allowing cluster compromise.,Privilege Escalation,Azure,50,1,0,1,1,0,0,0,0,0
,GCP Cloud Run with misconfigured IAM policy allowing unauthorized invocation.,Access Control,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud Load Balancer with misconfigured listener allowing request smuggling.,API Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Functions with misconfigured logging exposing sensitive data.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured event notification allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS API Gateway with misconfigured caching allowing data leakage.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure App Service with misconfigured custom domain allowing subdomain takeover.,Domain Hijacking,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Storage with misconfigured CORS allowing cross-origin data exfiltration.,Data Exfiltration,GCP,0,1,0,0,0,0,0,0,1,0
,Oracle Cloud Database with misconfigured audit trail allowing undetected access.,Monitoring,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,AWS ECS with misconfigured task definition allowing container breakout.,Privilege Escalation,AWS,25,1,0,1,0,0,0,0,0,0
,Azure Function with misconfigured trigger allowing unauthorized invocation.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Run with misconfigured concurrency allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud Compute with misconfigured user data allowing code injection.,Code Injection,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Object Storage with misconfigured CORS exposing data to unauthorized origins.,Data Exfiltration,IBM Cloud,0,1,0,0,0,0,0,0,1,0
,Alibaba Cloud SLB with misconfigured health check allowing DoS attacks.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,0,0,0
,AWS S3 bucket with misconfigured replication allowing data exfiltration.,Data Exfiltration,AWS,0,1,0,0,0,0,0,0,1,0
,Azure SQL Database with misconfigured firewall allowing unauthorized access.,Access Control,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Functions with misconfigured HTTP trigger allowing unauthorized invocation.,Access Control,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with misconfigured service gateway allowing lateral movement.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured service account token allowing cluster compromise.,Privilege Escalation,IBM Cloud,25,1,0,1,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured parameter group allowing insecure connections.,Network Security,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS API Gateway with misconfigured authorizer allowing unauthorized access.,Authentication,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Cosmos DB with misconfigured role-based access control allowing privilege escalation.,Privilege Escalation,Azure,25,1,0,1,0,0,0,1,0,0
,GCP Cloud Storage with misconfigured lifecycle rule exposing deleted objects.,Data Exposure,GCP,25,1,0,0,1,0,0,0,1,0
,Oracle Cloud Database with misconfigured listener allowing SQL injection.,Injection,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Functions with misconfigured namespace allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket ACL allowing data tampering.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,1,0
,AWS CloudTrail with misconfigured log delivery allowing log tampering.,Monitoring,AWS,30,1,1,0,0,0,0,0,1,0
,Azure Virtual Machine with misconfigured diagnostics exposing sensitive data.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Functions with misconfigured VPC connector allowing lateral movement.,Network Security,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Load Balancer with misconfigured path routing allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud VPC with misconfigured subnet allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured security group allowing SSH brute force.,Authentication,Alibaba Cloud,0,1,0,0,0,0,0,0,0,0
,AWS EKS with misconfigured pod security policy allowing container breakout.,Privilege Escalation,AWS,25,1,0,1,0,0,0,1,0,0
,Azure API Management with misconfigured backend allowing request forgery.,Server-Side Request Forgery,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured backup allowing data exposure.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud Identity with misconfigured MFA policy allowing bypass.,Authentication,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud Functions with misconfigured package binding allowing unauthorized access.,Access Control,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured lifecycle transition allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,1,0
,AWS SNS with misconfigured topic policy allowing unauthorized subscriptions.,Access Control,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Event Hub with misconfigured capture allowing data exposure.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP BigQuery with misconfigured dataset policy allowing unauthorized access.,Access Control,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud Object Storage with misconfigured bucket policy allowing data tampering.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,1,1,0
,IBM Cloud Kubernetes with misconfigured init container allowing privilege escalation.,Privilege Escalation,IBM Cloud,25,1,0,1,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured instance metadata allowing SSRF attacks.,Server-Side Request Forgery,Alibaba Cloud,20,1,0,0,0,0,0,0,0,1
,AWS CloudFormation with misconfigured parameter allowing code injection.,Code Injection,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Machine Learning with misconfigured endpoint allowing inference attacks.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Monitoring with misconfigured notification channel allowing data leakage.,Data Exposure,GCP,55,1,1,0,1,0,0,0,0,0
,Oracle Cloud Functions with misconfigured environment variables exposing secrets.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud VPC with misconfigured VPN gateway allowing traffic interception.,Network Security,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured audit log destination allowing data exposure.,Data Exposure,Alibaba Cloud,55,1,1,0,1,0,0,0,1,0
,AWS Redshift with misconfigured parameter group allowing insecure connections.,Network Security,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Data Lake with misconfigured filesystem ACL allowing data tampering.,Data Exposure,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Cloud Composer with misconfigured Airflow DAG allowing code execution.,Code Injection,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with misconfigured DNS resolution allowing DNS rebinding attacks.,Network Security,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured webhook timeout allowing DoS attacks.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured event trigger allowing unauthorized invocation.,Access Control,Alibaba Cloud,30,1,1,0,0,0,0,0,0,0
,AWS S3 bucket with misconfigured versioning exposing deleted objects.,Data Exposure,AWS,25,1,0,0,1,0,0,0,1,0
,Azure Stream Analytics with misconfigured output allowing data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Armor with misconfigured XSS protection allowing script injection.,Injection,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured snapshot allowing data exposure.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Databases with misconfigured connection pooling allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud ECS with misconfigured auto-scaling trigger allowing DoS attacks.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,0,0,0
,AWS ElastiCache with misconfigured cluster mode allowing unauthorized access.,Access Control,AWS,0,1,0,0,0,0,0,0,0,0
,Azure Databricks with misconfigured cluster policy allowing privilege escalation.,Privilege Escalation,Azure,25,1,0,1,0,0,0,1,0,0
,GCP Cloud VPN with misconfigured IKE policy allowing weak encryption.,Encryption,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud Compute with misconfigured boot volume allowing data exposure.,Data Exposure,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Functions with misconfigured action sequence allowing code execution.,Code Injection,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with misconfigured encryption key allowing data exposure.,Encryption,Alibaba Cloud,25,1,0,0,1,0,0,0,1,0
,AWS CodeBuild with misconfigured source repository allowing code tampering.,Code Injection,AWS,30,1,1,0,0,0,0,0,0,0
,Azure Cognitive Services with misconfigured endpoint allowing data exfiltration.,Data Exfiltration,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Spanner with misconfigured table schema allowing data tampering.,Data Exposure,GCP,25,1,0,0,1,0,0,0,0,0
,Oracle Cloud API Gateway with misconfigured CORS allowing cross-origin attacks.,Data Exfiltration,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Security Group with misconfigured egress rules allowing data exfiltration.,Data Exfiltration,IBM Cloud,0,1,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with misconfigured monitoring exposing instance metrics.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS S3 bucket with misconfigured event notification allowing unauthorized actions.,Access Control,AWS,30,1,1,0,0,0,0,0,1,0
,Azure Virtual Network with misconfigured DDoS protection allowing service disruption.,Denial of Service,Azure,10,1,0,0,0,1,0,0,0,0
,GCP Cloud DNS with misconfigured DNSSEC allowing domain spoofing.,Domain Hijacking,GCP,0,1,0,0,0,0,0,0,0,0
,Oracle Cloud Identity with misconfigured group policy allowing privilege escalation.,Privilege Escalation,Oracle Cloud,25,1,0,1,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured flow log destination allowing data exposure.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
,Alibaba Cloud RDS with misconfigured read replica allowing data exposure.,Data Exposure,Alibaba Cloud,25,1,0,0,1,0,0,0,0,0
,AWS SNS with misconfigured delivery policy allowing message tampering.,Data Exposure,AWS,25,1,0,0,1,0,0,1,0,0
,Azure Virtual Machine with misconfigured extension allowing code execution.,Code Injection,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured maintenance window allowing service disruption.,Denial of Service,GCP,10,1,0,0,0,1,0,0,0,0
,Oracle Cloud File Storage with misconfigured export options allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with misconfigured liveness probe allowing resource exhaustion.,Denial of Service,IBM Cloud,10,1,0,0,0,1,0,0,0,0
,Alibaba Cloud OSS with misconfigured bucket logging allowing data exposure.,Data Exposure,Alibaba Cloud,55,1,1,0,1,0,0,0,1,0
,AWS EKS with misconfigured audit logging exposing cluster activity.,Data Exposure,AWS,55,1,1,0,1,0,0,0,1,0
,Azure API Management with misconfigured OAuth2 allowing token theft.,Authentication,Azure,0,1,0,0,0,0,0,0,0,0
,GCP Cloud Run with misconfigured scaling policy allowing resource exhaustion.,Denial of Service,GCP,10,1,0,0,0,1,0,1,0,0
,Oracle Cloud Load Balancer with misconfigured SSL policy allowing weak ciphers.,Encryption,Oracle Cloud,0,1,0,0,0,0,0,1,0,0
,IBM Cloud VPC with misconfigured public gateway allowing unauthorized access.,Access Control,IBM Cloud,30,1,1,0,0,0,0,0,0,0
,Alibaba Cloud RDS with misconfigured maintenance window allowing service disruption.,Denial of Service,Alibaba Cloud,10,1,0,0,0,1,0,0,0,0
,AWS SNS with misconfigured subscription filter allowing message exposure.,Data Exposure,AWS,25,1,0,0,1,0,0,0,0,0
,Azure Virtual Network with misconfigured service endpoint allowing data exfiltration.,Data Exfiltration,Azure,30,1,1,0,0,0,0,0,0,0
,GCP Cloud SQL with misconfigured user privileges allowing privilege escalation.,Privilege Escalation,GCP,25,1,0,1,0,0,0,0,0,0
,Oracle Cloud File Storage with misconfigured mount options allowing unauthorized access.,Access Control,Oracle Cloud,0,1,0,0,0,0,0,0,0,0
,IBM Cloud Databases with misconfigured backup destination allowing data exposure.,Data Exposure,IBM Cloud,25,1,0,0,1,0,0,0,1,0
